Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2013-06-03,0.337129682302475,0.34062929491721294,0.3301304292605503,0.3380629012080923,444468000
2013-06-04,0.3375963568687439,0.34529551166862166,0.3354965722074386,0.3392295041747897,363676000
2013-06-05,0.33036383986473083,0.33969614276876264,0.3294305928868538,0.3371297761576278,464520000
2013-06-06,0.3324635326862335,0.3350299266141908,0.33013045741080005,0.33036377606332384,341044000
2013-06-07,0.337129682302475,0.33922943874633826,0.33339675105510835,0.33479657941353425,274584000
2013-06-10,0.33689630031585693,0.3389960563648571,0.3343299070893514,0.33619637236204236,224148000
2013-06-11,0.33059707283973694,0.3371296887411678,0.33059707283973694,0.3324635106866178,296336000
2013-06-12,0.32779738306999207,0.33502992756943795,0.3259309172818333,0.33223024279342545,312588000
2013-06-13,0.3352632224559784,0.3368963694751751,0.3263975314500474,0.32663082227424733,236256000
2013-06-14,0.33479657769203186,0.3368963619375469,0.3324635026275364,0.3364297524871376,236012000
2013-06-17,0.3380630314350128,0.3410960357653006,0.33549663673727864,0.33736310307995265,255336000
2013-06-18,0.33596324920654297,0.3434290862097638,0.33316353599443493,0.3396961538019247,486772000
2013-06-19,0.34622859954833984,0.36116029394681387,0.3378295197109205,0.338996057032093,1159588000
2013-06-20,0.33689630031585693,0.3438955242291155,0.3345632256781041,0.34342891486405364,628696000
2013-06-21,0.3364298641681671,0.33992947792663974,0.3308304654671363,0.33876294000714885,714228000
2013-06-24,0.3294305205345154,0.33572984586119053,0.3245310792734296,0.33153030491422386,580772000
2013-06-25,0.33176371455192566,0.3336301529847436,0.3282640729592469,0.33293025247866587,457360000
2013-06-26,0.3298972249031067,0.3359632328168048,0.3284973683653437,0.3354965954292465,579752000
2013-06-27,0.32686418294906616,0.33129701511591586,0.3233645698239366,0.33083040559505583,808036000
2013-06-28,0.3275640904903412,0.3308303847429411,0.3226646212989903,0.32686416234694093,431536000
2013-07-01,0.32896390557289124,0.3305970804451573,0.3268641490406205,0.3298971523302504,199524000
2013-07-02,0.32873067259788513,0.3336301146396114,0.3256976687744614,0.3270974974381882,256392000
2013-07-03,0.32966387271881104,0.3336300954229366,0.3259309408723086,0.3259309408723086,140388000
2013-07-05,0.33223021030426025,0.3329301383829294,0.3284972790929903,0.3305970633289978,184684000
2013-07-08,0.33059707283973694,0.33479658580766813,0.3287306071804068,0.33316343878542276,262084000
